start_time,metric_source_ip,num_events,aggregated_log_level,max_response_time,event_ids_list,cpu,memory,qps,disk_usage,memory_usage,iops,slow_queries,select_full_join,select_scan,threads_created,aborted_connects,aborted_clients,table_locks_waited,innodb_row_lock_waits,innodb_buffer_pool_read_requests,innodb_buffer_pool_reads,innodb_buffer_pool_write_requests,seconds_behind_master,connections,max_used_connections,qcache_hits,qcache_inserts,qcache_lowmem_prunes,created_tmp_tables,created_tmp_disk_tables,binlog_cache_disk_use,binlog_cache_use
2025-03-18 04:50:00.470042,0,10,0,0.0532772541046142,"[1.0, 1.0, 1.0, 1.0, 1.0, 5.0, 5.0, 31.0, 31.0, 26.0]",12.0,1455.0,3.3999999999999995,37660943.0,51527680.0,0.5333333333333333,0.0,0.0,1.1333333333333333,0.0,0.0,0.0,0.0,0.0,37.28888888888888,0.0,33.06666666666666,0.0,0.7777777777777777,0.0,0.0,0.0,0.0,21.177777777777774,1.6444444444444446,0.0,0.0
2025-03-18 04:50:01.468462,0,13,0,0.0239043235778808,"[1.0, 1.0, 1.0, 1.0, 26.0, 1.0, 5.0, 5.0, 5.0, 26.0, 26.0, 5.0, 5.0]",9.0,1404.0,3.311111111111111,37660943.0,51593216.0,0.2,0.0,0.0,1.1555555555555554,0.0,0.0,0.0,0.0,0.0,12.133333333333333,0.0,10.71111111111111,0.0,0.6888888888888888,0.0,0.0,0.0,0.0,6.088888888888889,0.5333333333333332,0.0,0.0
2025-03-18 04:50:02.195768,0,16,0,0.0305359363555908,"[31.0, 1.0, 1.0, 1.0, 1.0, 1.0, 26.0, 5.0, 31.0, 5.0, 31.0, 5.0, 5.0, 23.0, 5.0, 5.0]",11.0,1387.0,3.311111111111111,37660943.0,51773440.0,0.5333333333333333,0.0,0.0,1.0888888888888888,0.0,0.0,0.0,0.0,0.0,28.22222222222221,0.0,25.02222222222222,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,16.066666666666666,1.2444444444444442,0.0,0.0
2025-03-18 04:50:07.109689,0,36,0,0.0561549663543701,"[5.0, 5.0, 26.0, 26.0, 31.0, 26.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 26.0, 31.0, 26.0, 31.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5.0, 5.0, 31.0, 26.0, 26.0, 5.0, 26.0, 26.0, 5.0, 26.0, 5.0, 5.0, 26.0, 5.0, 5.0]",11.0,1290.0,3.5333333333333328,37660943.0,51855360.0,0.8666666666666667,0.0,0.0,1.2444444444444442,0.0,0.0,0.0,0.0,0.0,46.86666666666666,0.0,41.17777777777777,0.0,0.7777777777777777,0.0,0.0,0.0,0.0,26.311111111111103,2.022222222222222,0.0,0.0
2025-03-18 04:50:09.120203,0,39,0,0.1148426532745361,"[31.0, 26.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 26.0, 26.0, 5.0, 26.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 26.0, 26.0, 26.0, 26.0, 23.0, 5.0, 26.0, 5.0, 5.0, 31.0, 5.0, 5.0, 23.0, 5.0, 26.0]",9.0,1439.0,3.266666666666666,37677327.0,51576832.0,0.2,0.0,0.0,1.0888888888888888,0.0,0.0,0.0,0.0,0.0,19.666666666666664,0.0,17.42222222222222,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,11.044444444444444,0.8666666666666666,0.0,0.0
2025-03-18 04:50:11.090753,0,31,0,0.0617752075195312,"[5.0, 26.0, 26.0, 23.0, 5.0, 5.0, 5.0, 5.0, 5.0, 23.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 31.0, 5.0, 26.0, 5.0, 5.0, 26.0, 26.0, 26.0, 26.0, 26.0, 5.0, 26.0, 5.0]",11.0,1387.0,3.4,37660943.0,51773440.0,3.6666666666666665,0.0,0.0,1.1777777777777776,0.0,0.0,0.0,0.0,0.0,49.84444444444444,0.0,35.71111111111111,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,16.2,1.2888888888888888,0.0,0.0
2025-03-18 04:50:12.193755,0,24,0,0.047722578048706,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 26.0, 5.0, 5.0, 5.0, 5.0, 23.0, 5.0, 26.0, 26.0, 26.0, 26.0, 26.0, 23.0, 23.0, 5.0, 26.0, 5.0]",10.0,1455.0,3.3999999999999995,37660943.0,51527680.0,0.5333333333333333,0.0,0.0,1.1333333333333333,0.0,0.0,0.0,0.0,0.0,37.28888888888888,0.0,33.06666666666666,0.0,0.7777777777777777,0.0,0.0,0.0,0.0,21.177777777777774,1.6444444444444442,0.0,0.0
2025-03-18 04:50:13.090127,0,37,0,0.094083547592163,"[31.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 26.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 26.0, 31.0, 5.0, 5.0, 5.0, 5.0, 23.0, 26.0, 5.0, 5.0, 5.0, 5.0, 5.0, 23.0, 5.0, 5.0, 5.0, 5.0, 23.0, 31.0, 23.0, 26.0, 26.0]",10.0,1403.0,3.266666666666666,37660943.0,51593216.0,1.2,0.0,0.0,1.2444444444444442,0.0,0.0,0.0,0.0,0.0,17.866666666666664,0.0,13.555555555555554,0.0,0.6888888888888888,0.0,0.0,0.0,0.0,6.155555555555555,0.5333333333333332,0.0,0.0
2025-03-18 04:50:21.091259,0,24,0,0.0466985702514648,"[5.0, 31.0, 31.0, 26.0, 26.0, 5.0, 5.0, 5.0, 5.0, 26.0, 5.0, 31.0, 5.0, 26.0, 5.0, 5.0, 5.0, 5.0, 5.0, 26.0, 23.0, 5.0, 26.0, 5.0]",10.0,1146.0,3.0,37677327.0,51675136.0,9.0,0.0,0.0,0.9333333333333332,0.0,0.0,0.0,0.0,0.0,68.64444444444443,0.0,41.77777777777777,0.0,0.6888888888888888,0.0,0.0,0.0,0.0,10.888888888888888,0.8666666666666666,0.0,0.0
2025-03-18 04:50:32.112341,0,24,0,0.0462038516998291,"[26.0, 5.0, 26.0, 26.0, 5.0, 23.0, 5.0, 23.0, 5.0, 5.0, 5.0, 26.0, 5.0, 5.0, 5.0, 31.0, 5.0, 26.0, 26.0, 26.0, 31.0, 31.0, 31.0, 26.0]",13.0,1387.0,3.133333333333333,37677327.0,51773440.0,12.066666666666666,0.0,0.0,1.0666666666666664,0.0,0.0,0.0,0.0,0.0,106.75555555555556,0.0,60.06666666666666,0.0,0.711111111111111,0.0,0.0,0.0,0.0,10.999999999999998,0.8666666666666666,0.0,0.0
